brand_name,generic_name,total_manufacturers,manufacturer,total_spending,total_dosage_units,total_claims,total_beneficiaries,avg_spend_per_unit,avg_spend_per_claim,avg_spend_per_bene,outlier_flag,year
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Sagent Pharmace,89892.86,12953.953,575.0,246.0,10.415582884,156.3354087,365.41813008,0,2022
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Provepharm Inc.,55043.95,57887.996,364.0,154.0,1.097516505,151.21964286,357.42824675,1,2022
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Sandoz-Novaplus,132037.58,13229.75,624.0,296.0,10.172016741,211.5986859,446.07290541,0,2022
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Piramal Critica,,,,,,,,,2022
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Meitheal Pharma,101289.92,42508.0,1197.0,594.0,2.8559248784,84.619816207,170.52175084,1,2022
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Hospira/Pfizer,545195.32,303489.762,3112.0,1333.0,3.0696572007,175.1912982,408.99873968,1,2022
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Fresenius-Premi,135546.96,47374.806,1228.0,509.0,3.063918772,110.38026059,266.30051081,1,2022
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Fresenius-Novap,58416.62,5138.598,369.0,118.0,11.368201988,158.31062331,495.05610169,1,2022
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Fresenius Kabi,2530698.11,1710461.895,9808.0,3540.0,1.7051049727,258.02386929,714.88647175,0,2022
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,"Civica, Inc.",9039.01,1586.5,116.0,34.0,5.6544086026,77.9225,265.85323529,0,2022
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Bluepoint Labor,344695.34,45419.0,2328.0,1030.0,7.5761244166,148.06500859,334.6556699,0,2022
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Auromedics-Eugi,1056855.91,344206.7,5141.0,2355.0,3.0844382118,205.57399533,448.77108705,0,2022
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Athenex Pharmac,27026.31,8565.0,231.0,120.0,3.500832672,116.99701299,225.21925,1,2022
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Armas Pharmaceu,217991.08,13955.0,1255.0,536.0,15.599931004,173.69807171,406.69977612,0,2022
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,App/Fresenius K,27198.83,1250.01,107.0,51.0,50.302276566,254.1946729,533.31039216,0,2022
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,App-Premierpro,4864.02,1999.5,43.0,24.0,2.4326181545,113.11674419,202.6675,1,2022
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Apotex Corp,3329107.19,2687198.478,15980.0,6079.0,1.2328642077,208.32961139,547.64059714,0,2022
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Apollo/Provepha,851351.26,880581.035,5705.0,2310.0,1.389944919,149.22896757,368.550329,0,2022
Zosyn,"Piperacillin-Tazo-Dextrose,Iso",2,Overall,603995.33,1540500.0,2344.0,969.0,0.4051620717,257.67718857,623.31819401,0,2022
Zosyn,"Piperacillin-Tazo-Dextrose,Iso",1,Pfizer/Baxter,603995.33,1540500.0,2344.0,969.0,0.4051620717,257.67718857,623.31819401,0,2022
Zosyn,"Piperacillin-Tazo-Dextrose,Iso",1,Baxter Healthca,,,,,,,,,2022
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,22,Overall,14199661.2,6603468.554,68242.0,22422.0,4.681167592,208.07803406,633.29146374,1,2023
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Xellia Pharmace,66277.5,7537.0,439.0,228.0,9.9340424426,150.9738041,290.69078947,0,2023
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Wockhardt USA L,2204370.48,543080.533,9512.0,3597.0,8.609314187,231.74626577,612.83582986,0,2023
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,WG Critical Car,140864.91,65615.661,902.0,423.0,2.3063215053,156.16952328,333.01397163,1,2023
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Sandoz,277787.74,33322.402,1350.0,579.0,18.282807,205.7686963,479.77157168,0,2023
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Sagent Pharmace,187251.08,26443.513,1104.0,462.0,10.849579565,169.61148551,405.30536797,0,2023
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Provepharm Inc.,436967.36,566828.792,2834.0,987.0,1.0059795893,154.18749471,442.72275583,1,2023
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Sandoz-Novaplus,82223.02,6728.75,465.0,177.0,12.594165569,176.82369892,464.53683616,0,2023
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Piramal Critica,1402.79,244.0,28.0,,5.7491393443,50.099642857,,1,2023
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Meitheal Pharma,73192.73,20703.0,876.0,488.0,4.188740772,83.553344749,149.98510246,1,2023
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Hospira/Pfizer,504016.18,111815.331,2742.0,1174.0,7.8485536898,183.81334063,429.31531516,1,2023
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Fresenius-Premi,168507.9,376378.381,1296.0,539.0,0.4989060683,130.02152778,312.63061224,1,2023
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Fresenius-Novap,61158.53,2931.883,414.0,130.0,20.859812619,147.72591787,470.45023077,1,2023
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Fresenius Kabi,3777833.38,1664155.579,13714.0,4543.0,2.3571637017,275.47275631,831.57239269,0,2023
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,"Civica, Inc.",2586.62,465.0,33.0,21.0,5.5912530903,78.382424242,123.17238095,0,2023
